NAME,GROWTH,FLOWER,YEAR,AFS #,DESCRIPTION,PARENTAGE,GROWER
ALYCE LARSON,TRAILER,DUBL,1972,1070,T&S.WHITE TIPPED GREEN.C.WHITE.,PARENTAGE UNKNOWN.,TIRET
AMANDA JONES,UPRT BUSH,SGLE,1981,,T.SHORT SOFT PINK.S.SOFT PINK INNER.OLD ROSE UNDERNEATH.C.MAUVE PINK.SMALL.,BOBBY SHAFTOE X SANTA BARBARA.(SANTA BARBARA SYN.LUSTRE),ROE.G
AMAPOLA,TRAILER,SIDL,1950,,T&S.DARK PINK.C.ROSE PURPLE.FL0WERS LARGE.,PARENTAGE UNKNOWN.,DALE
AMBASSADOR,UPRT BUSH,SGLE,1962,502,T&S.ROSE MADDER WITH WHITE FLUSH.C.VIOLET PURPLE FADING TO PEONY PURPLE.,IMPORTED FROM ENGLAND BY WALKER.REGISTERED BY MACHADO.,JONES.W
AMERICA,CASCADE,SGLE,1941,,T.LONG & THIN BASE WHITE.S.ROSE MADDER.GREEN-WHITE TIPS.C.DEEP CRIMSON.,GOLONDRINA X RUNDLE.,NIEDERHOLZER
AMIGO,UPRIGHT,SGLE,1969,863,T&S.SALMON.C.DARK PURPLE WITH DEEP SALMON & CORAL PATCHES.CAN BE SEMI-DBLE,PARENTAGE UNKNOWN.TWO OF THIS NAME.SEE BOUL.ADDEN.NO.6.,KENNETT
AMPHION,UPRT BUSH,SGLE,1872,,T&S.DEEP RED.C.RED BELL SHAPED.FLOWERS SMALL.NOT AS IN BOULLEMIER.,AMPHION IN NEW ZEALAND IS A SINGLE AND BELL SHAPED.,BULL
AMY LYE,LABU-TRAL,SGLE,1885,,T.CREAMY.S.WHITE TIPS GREEN.C.CORAL ORANGE.VIGOROUS GROWTH.RED VEINED LEAVES,ALMOST IDENTICAL TO WHITE QUEEN.SEE BOUL.1985 & 1991.,LYE
ANDENKEN HEINRICH HENKEL,LAX UPRT,SGLE,1897,,T.LONG ROSY CRIMSON.S.FLUSHED FAINT CINNABAR.SHORT PETALS BRIGHT CRIMSON.,F.CORYMBIFOLIA X MAGNIFICA. SYN.WITH HEINRICH HENKEL.,BERGER
ANDREW,UPRT BUSH,SGLE,1967,,T.CREAM.S.PALE MADDER.C.VERY PALE TYRIAN PURPLE.,PARENTAGE UNKNOWN.,WATSON
ANDROMEDA,UPRT BUSH,SGLE,,,T.LIGHT RED.S.LIGHT RED & HORIZONTAL.C.LILAC WITH RED VEINS.FLRS.SML.BUSHY.,F.REGIA VAR.TYPICA X UPWARD LOOK.,DE GROOT
ANGELA LESLIE,LABU-TRAL,DUBL,1959,382,T&S.PINK.S.RECURVED.TIPS PEA GREEN.C.DEEP PINK WITH ROSE VEINS AND SPOTS.,PARENTAGE UNKNOWN.,TIRET
ANGELA RIPPON,UPRT BUSH,SGLE,1977,1423,T&S WAXY CHINA ROSE.TIP PALE GRN.C WISTERIA BLUE PASSING TO IMPERIAL PURPLE,CHRISTINE CLEMENTS X FORWARD LOOK.,GADSBY
ANGEL'S DREAM,TRAILER,DUBL,1973,1079,T&S.CLEAR SOFT PINK.C.WHITE WITH PINK MARKING TO CENTRE.PETALS SERRATED.,PINK GALORE X WHITE KING.SIMILAR TO ANGEL'S FLIGHT.,STUBBS
ANGEL'S EYES,LABU-TRAL,DUBL,1991,2773,T.LIGHT YELLOW-GREEN.S.WHITE SHADING DARK ROSE RECURVED.C.ROSE EDGED WHITE.,NIGHTINGALE X CITY OF RICHMOND. 1992 IMPORT. LOST.,McLAUGHLIN
ANGEL'S FLIGHT,LOW BUSH,DUBL,1957,320,T.LONG WHITE.S.DEEP PINK.WIDE.REFLEXED TO TUBE.C.WHITE.HAS MANY PETALOIDS.,PARENTAGE UNKNOWN.CAN BE CONFUSED WITH BEAUTY OF BATH.,MARTIN
ANITA 2,UPRIGHT,SGLE,1988,,T.WHITE. S.CREAMY WHITE. C.SALMON ORANGEY-RED. VERY SMALL FLOWERS.,PARENTAGE UNKNOWN. TWO OF THIS NAME. NOT REGISTERED,GOTZ
ANITA'S GEM,TRAILER,DUBL,1991,2723,T.MAGENTA.S.WHITE.TIPS GREEN RECURVED.C.REDDISH PURPLE.MATURING MAGENTA.,OVATION X(HAPPY WEDDING DAY X WHITE KING.92 IMPORT. LOST,RICHARDSON
ANJO,UPRIGHT,SGLE,1989,,T&S.CREAM BLUSHED ROSE.C.REDDISH PINK. FOLIAGE IS VARIEGATED YELLOW-GREEN.,SPORT FROM ANTON SCHREDER. 1997 IMPORT BY HAYES.,HESSEN.MEVR
ANN PORTER,UPRT BUSH,SGLE,1978,,T&S.WHITE.C.ASTER VIOLET.,PARENTAGE NOT STATED. 1997 IMPORT BY HAYES.,PORTER.
ANNA,TRAILER,DUBL,1945,,T&S.CARMINE.C.MAGENTA.CARMINE AT BASE.ALMOST A SELF.FLOWERS LARGE AND LONG.,PARENTAGE UNKNOWN.,REITER
ANNA MARIE,,,,,,,
ANNA ROTH,UPRT BUSH,DUBL,1945,,T&S.RED.C.DARK RED.FLOWERS LARGE.,PARENTAGE UNKNOWN.,NIEDERHOLZER
ANNABEL,LAX UPRT,DUBL,1977,1476,T.LONG STRIPED PINK.S.LONG BROAD FLUSHED PINK.TIPS CURL.C.WHITE.PINK VEINED,INGRAM MAID X NANCY LOU. RYLE SAYS SEED OF COQUET DALE.,RYLE.
ANNE,UPRT,SGLE,,,SEPALS PALE CERISE; COROLLA MAUVE CERISE,,HARRIS UK
ANNETTE,UPRT BUSH,DUBL,,,T&S.FLUSHED PINK.C.WHITE.BLUSH PINK.DARKER VEINS. SYNOYMOUS WITH ANNABEL.,LISTED BY DAELMA NURSERIES AS A PALE PINK SELF.,UNKNOWN. NZ
ANN'S BEAUTY,TRAILER,DUBL,1976,1352,T.THIN WHITE.S.NEYRON ROSE.LIGHT GREEN TIPS.C.VIOLET PURPLE.VARIEGATED ROSE,PARENTAGE UNKNOWN. 1992 IMPORT. LOST.,SOO-YUN
ANN'S DELIGHT,UPRIGHT,DUBL,1962,507,T&S.BRIGHT PINK.SEPALS LONG.C.LARGE & LOOSE ORCHID PINK.PETALS SPOON SHAPE.,PARENTAGE UNKNOWN.,GAGNON
ANTIGONE,UPRT BUSH,SGLE,1887,,T&S.WHITE WITH TOUCH OF PINK.C.PINKISH ORANGE.DARK GREEN FOLIAGE.,PARENTAGE UNKNOWN.,BANKS
ANTONIA,UPRT BUSH,SGLE,1974,1213,T.PALE PINK.S.PALE PINK FLUSHED CERISE DEEPER INSIDE.C.CERISE.BELL SHAPED.,PARENTAGE UNKNOWN.,HARRIS
ANTONIE VAN HEIJST,UPRIGHT,SIDL,2002,5001,S. LIGHT PINK; GREEN TIPS; COROLLA PURPLE MATURING DARK REDDISH PURPLE,BON ACCORDE X BICENTENNIAL,TAMERUS 
APACHE,UPRT BUSH,DUBL,1973,,T&S.ROSY RED.C.LILAC OVER-SPLASHED WITH PINK.,BLUE LAGOON X PHYLLIS.,HOBSON
APPLAUSE,LAX UPRT,DUBL,1978,1440,T.SHORT THICK CARMINE.S.BROAD CARMINE.C.ORANGE-RED WITH MANY PETALS.LARGE.,(TRADE WINDS X DEE DEE)X FAN TAN.,STUBBS
APPLE BLOSSOM,LAX UPRT,SGLE,1960,417,T&S.SHELL PINK.C.PINK. ALMOST A SELF.FLARING BLOOMS.DARK GREEN FOLIAGE.,PARENTAGE UNKNOWN.FIRST INTRODUCED IN 1953.,SCHNABEL
APRICOSE,UPRT BUSH,SGLE,1944,,T&S.SHRIMP PINK.C.ROSE.LIGHTER AT BASE.MAKES A LARGE PLANT.,PARENTAGE UNKNOWN.,NIEDERHOLZER
APRICOT SLICE,UPRIGHT,SGLE,1990,2531,T.LIGHT CORAL.S.CORAL-PINK.TIPS GREEN & RECURVED.C.LIGHT CORAL.FLARED BELL,PARENTAGE UNKNOWN.ONE PARENT COULD BE F.TILLETTIANA.,SHARPE.N.Z
AQUARIUS,UPRT BUSH,SGLE,1971,946,T&S.LIGHT PINK TIPS GREEN.DARKER UNDERNEATH.C.PINK BELL SHAPED.,PARENTAGE UNKNOWN.,SOO YUN
ARBINGER FAYRE,,,,,,,
ARCADIA,LAX UPRT,SGLE,1979,1520,T.THICK CERISE.S.LONG RED-CERISE.UPTURNED.C.TRUE MAGENTA.FLOWERS LARGE.,PARENTAGE UNKNOWN,TOLLEY
ARCADY,UPRT BUSH,SGLE,1968,,T&S.PINK SUFFUSED SALMON.TIPS GREEN.C.DEEP ROSE EDGED SALMON.,PARENTAGE UNKNOWN.,COLVILLE
ARCHIE OWEN,TRAILER,DUBL,1977,1410,T&S SOFT PINK.REFLEXED ON MATURITY.C.OF MANY PETALS SOFT PINK.,PINK GALORE X WHITE KING.,STUBBS
ARIANNE FUHRMANN,UPRT TRAIL,DUBL,2006,6369,SEPALS LAVENDER; COROLLA PINKISH PURPLE; MATURING PURPLE,DR MANSON X FLIRTATION WALTZ,MICHIELS BELG
ARLENDON,UPRT BUSH,SIDL,1975,,T&S.BRIGHT RED.C.WHITE.SLIGHTLY VEINED CERISE.,PARENTAGE UNKNOWN.ORIGINATELY KNOWN AS SNOWCAP IMPROVED.,GREEN
ARMY NURSE,UPRT BUSH,SIDL,1947,,T&S.DEEP CARMINE.C.BLUISH VIOLET.FLUSHED PINK AT BASE.VEINED PINK.FLR.SMALL,PARENTAGE UNKNOWN.,HODGES
ARTHUR COPE,LOW BUSH,SIDL,1968,982,T.LONG WHITE.S.WHITE.C.SPIRAEA RED FLUSHED ROSE RED AND SPLASHED WHITE.,PARENTAGE LISTED IN GADSBY'S RAISINGS AS PEPI X.,GADSBY
ATHELA,UPRT BUSH,SGLE,1942,,T.CREAMY PINK.S.PINK.C.SALMON PINK.DEEPER AT BASE.EDGED PALE PINK.,ROLLA X MRS.W.RUNDLE.,WHITEMAN
ATLANTIS,LABU-TRAL,SIDL,1974,1190,T.SHORT & THICK WHITE.S.WHITE FLUSHED PALE PINK.C.LILAC.EDGED DARKER LILAC.,PARENTAGE UNKNOWN.,HANDLEY
AULD REEKIE,LAX UPRT,DUBL,1960,,T&S.ROSE OPAL.C.ACONITE VIOLET.FLOWERS LARGE AND FULL DOUBLE.,PARENTAGE UNKNOWN.ALSO KNOWN INCORRECTLY AS OLD REEKIE,JONES
AUNT JULIANA,LABU-TRAL,DUBL,1950,1320,T.SHORT RED.S.RED UPTURNED.C.PALE LAVENDER BLUE.STAMENS RED.FLOWERS LARGE.,SPORT FROM UNCLE JULES.,HANSON
AUNTIE JINKS,CASCADE,SGLE,1970,,T.PINKISH RED.S.WHITE EDGED CERISE.C.CERISE PURPLE SHADED WHITE.FLRS SMALL,CHECKERBOARD SELF SEEDLING.,WILSON.J
AURORA SUPERBA,LABU-TRAL,SGLE,,,T&S.LIGHT APRICOT.S.HORIZONTAL AT MATURITY.C.DEEP ORANGE PEACH.ALMOST SELF.,PARENTAGE UNKNOWN.CORRECT NAME COULD BE AUREA SUPERBA,UNKNOWN
AUSTRALIA FAIR,UPRT BUSH,DUBL,1954,,T&S.BRIGHT RED.C.WHITE.FLUSHED AND VEINED RED.LARGE BLOOMS.,PARENTAGE UNKNOWN.THIS IS A NEW ZEALAND RAISING.,UNKNOWN.N.Z
AUSTRALIA TWO HUNDRED,UPRT BUSH,DUBL,1990,2600,T.ROSE.S.DARK ROSE INNER.RED OUTER SURFACE.C.DARK RED PURPLE TO ORANGE-RED.,PARENTAGE UNKNOWN. FOUND SEEDLING.,SCRASE
AUTUMN ORANGE,LOW UPRT,DUBL,1987,2078,T.PINK STRIPED DARKER.S.HORIZONTAL JASPER RED.C.BRICK RED FADING CHINA ROSE,SLEIGH BELLS X (BLUSH OF DAWN X LA-CAMPANELLA).,SHARPE.N.Z
AUTUMNALE,LAX UPRT,SGLE,1880,,T&S.SCARLET ROSE.C.PURPLE.FOLIAGE SMALL.LEAVES GOLDEN COPPERY RED & YELLOW.,PARENTAGE UNKNOWN.CONFUSION OVER SYN.BURNING BUSH-RUBENS,UNKNOWN
AVALANCHE(AMER),LABU-TRAL,DUBL,1954,194,T&S.WHITE EDGED ROSE.TURNING ALL ROSE AT MATURITY.C.WHITE AND STAR SHAPED.,PARENTAGE UNKNOWN.THREE OF THIS NAME.NOT AS BY HENDERSON,SCHNABEL
AVALANCHE(BRIT),TRAILER,DUBL,1869,,T&S.SCARLET.C.PURPLISH VIOLET SHADED AND SPLASHED.CARMINE.,PARENTAGE UNKNOWN.THREE OF THIS NAME.NOT AS BY SCHNABEL,HENDERSON
AVE MARIA,UPRT BUSH,DUBL,1945,,T.WHITE.S.WHITE TIPS GREENISH.C.WHITE WHITH PINK MARKING AT BASE.,PARENTAGE UNKNOWN.INCORRECTLY KNOWN AS AVA MARIA.,REITER
AZALEA,UPRT BUSH,DUBL,1944,,T&S.RED.C.PALEST PINK ALMOST WHITE.VEINED ROSE.LARGE OPEN FLOWERS.,PARENTAGE UNKNOWN.RENAMED ELECTRA.,NIEDERHOLZER
AZURE SKY,UPRIGHT,SIDL,1991,2628,SEPALS CREAM WITH LIGHT GREEN TIPS; C. WHITE AT BASE TO SKY BLUE MATURE TO LILAC,DR MANSON X FLIRTATION WALTZ,JOHNS.E
BABETTE,UPRT BUSH,DUBL,1988,,T.PALE PINK.S.WHITE FLUSHED PINK.TIPS GREEN.C.LILAC PINK.FADING LIGHT PURPLE,PARENTAGE NOT STATED. 1997 IMPORT BY HAYES.,JOHNS.E
BABY BRIGHT,UPR-BUSH,SGLE,1992,,T.WHITE. S. WHITE TIPPED GREEN.C.WHITE FLUSHED PINK. SMAL FLOWERS.,PARENTGE NOT KNOWN. 1999 IMPORT BY HAYES.,BRIGHR
BABY CHANG,TRAILER,SGLE,1950,,T&S ORANGE RED.TIPS GREEN.C.BRILLIANT ORANGE.VERY SMALL FLOWERS.,PARENTAGE UNKNOWN.,HAZARD
BABY DARLING,UPRT BUSH,SGLE,,,THIS CULTIVAR OBTAINED FROM MRS.HETHERINGTON WHO GOT IT FROM CH/CH NURSERY.,PARENTAGE UNKNOWN.FOUND TO BE SYNONYMOUS TO PINK DARLING,UNKNOWN
BABY PINK,LABU-TRAL,DUBL,1976,1355,T.LONG THIN TRIPHYLLA TYPE.S.LIGHT PINK.TIPS GRN.C.LIGHT PINK.VEINS DARKER.,PARENTAGE UNKNOWN.,SOO-YUN
BABY STORMKING,UPRT BUSH,SGLE,1863,,T&S.BRIGHT SCARLET.C.MILKY WHITE.VEINED SCARLET.SMALL FLOWERS.,PARENTAGE UNKNOWN.SYN.WITH CONSPICUA.SIMILAR HARDY WHITE,SMITH.G
BABY VAN EIJK,UPRIGHT,DUBL,2005,5902,TUBE & SEPAL LIGHT ROSE; COROLLA PALE PINK,?SOPHIE MICHIELS? X FLAMENT ROSE,VAN EIJK HOLLAND
BACHELOR GIRL,TRAILER,SIDL,1952,141,T&S WHITE.TIPS GRN.FLUSHED PALE PINK INSIDE.C.PALE MALLOW.FLOWER LRGE.& LONG,SPORT FROM BEWITCHED.,SCHMIDT
BALI-HI,TRAILER,DUBL,1955,234,T.BROAD WHITE.S.WHITE UPTURNED.C.STARTS VIOLET BLUE AND TURNS MAUVE BLUE.,PARENTAGE UNKNOWN.,TIRET
BALKONKONIGIN,CASCADE,SGLE,1896,,T&S.PALE PINK TIPS GREEN DEEPER UNDERNEATH.C.DEEP PINK.FLOWER SMALL.CASCADE,PARENTAGE UNKNOWN.INCORRECTLY KNOWN AS BALKON.,NEUBRONNER
BALLERINA,UPRT BUSH,SGLE,1939,,T&S.IVORY PINK.C.CLEAR PINK.EDGED ROSE.GROWTH VIGOROUS & BRITTLE.UPR.TO 6ft,ROLLA X DISPLAY.TWO OF THIS NAME.OTHER IS RED & WHITE.,NIEDERHOLZER
BALLET GIRL,UPRT BUSH,DUBL,1894,,T.CERISE.S.BRIGHT CERISE REFLEXED.C.WHITE.VEINED CERISE AT BASE OF SEPALS.,PARENTAGE UNKNOWN.TWO OF THIS NAME ONE SINGLE ONE DOUBLE,VEITCH
BANKS PENINSULA,TRAILER,SGLE,1980,,T.GREEN.SEPALS YELLOWISH ORANGE.APETALOUS (NO PETALS).,F.PROCUMBENS X F.EXCORTICATA OR F.PERSCANDENS.,HUTCHINSON
BARBARA,UPRT BUSH,SGLE,1971,1155,T&S.PALE PINK.SLIGHTLY UPTURNED.C.CHERRY PINK TO TANGERINE PINK.FLRS.SHORT.,DISPLAY X UNKNOWN.,TOLLEY
BARBARA,,,,,NO DESCRIPTION. RAISED BY RANKIN.N.Z.,PAINT BOX X CIRCE. TWO OF THIS NAME.NOT AS REG.NO.1155.,RANKIN.N.Z
BARBARA HASSEY,UPRIGHT,DUBL,1994,3220,T.LIGHT PINK.36C.S.MAGENTA.58B.C.VIOLET.76A.SPLASHRED DARK ROSE 58D.,MRS.SUSAN BROOKFIELD X SWINGTIME SEEDLING.,RIMMER
BARBARA MATHEWS,UPRT BUSH,SIDL,,,T&S.WHITE.WITH SLIGHT PINK FLUSH.C WHITE BLUSHED PALE PINK.,PARENTAGE UNKNOWN.,SMITH.L. N.Z
BARBETTE,BUSH,SIDL,,,TUBE PALE PINK; SEPALS WHITE/GREEN COROLLA LILAC,NO DETAILS.,
BARON DE KETTELER,UPRT BUSH,DUBL,1901,,T&S.RICH CRIMSON.C.INTENSE PURPLE.LIGHT PINK CENTRE.VERY LARGE FLOWERS.,PARENTAGE UNKNOWN.,LEMOINE
BARRINGTON,,DUBL,,,SEPALS RED; COLOLLA PINK RED VEINS,IMPORTED FROM USA IN 1950'S DUNEDIN BOT. GARDENS,
BARRY J.WALLER,LABU-TRAL,DUBL,1991,2730,T.WHITE.S.WHITE TIPPED YELLOW GREEN.RECURVED.FLUSHED PINK.C.CREAMY WHITE.,WHITE KING X JANE ELIZABETH.AUSTRALIA.1992 IMPORT. LOST.,RICHARDSON
BASHFUL LADY,LOW BUSH,SIDL,1987,2079,T.CREAM.S.WHITE.TIPS RECURVED.C.RHODONITE-RED.LIGHTER AT BASE.BELL SHAPED.,(BLUSH OF DAWN X LA-CAMPANELLA) X SNOWFIRE.,SHARPE.N.Z
BAY FAIR,TRAILER,DUBL,1961,488,T.PINK.S.DEEP PINK DEEPER AT BASE.TIPS GREEN.C.WHITE FLUSHED PINK AT BASE.,PARENTAGE UNKNOWN.,KUECHLER
BEACON,UPRT BUSH,SGLE,1871,,T&S.DEEP PINK.C.BRIGHT MAUVISH-PINK.,PARENTAGE UNKNOWN. SIMILAR TO DISPLAY.,BULL
BEACON ROSA,UPRT BUSH,SGLE,1972,,T.LONG.PINK-RED.S.PINK-RED.C.PINK LIGHTLY VEINED RED.WILL REVERT TO BEACON.,PARENTAGE UNKNOWN.THOUGHT TO BE A SPORT FROM BEACON.,BURGI-OT
BEALINGS,TALL UPRT,DUBL,1983,1723,T.WAXY-WHITE.S.WHITE FLUSHED PINK WITH MATURITY.C.INTENSE VIOLET.,BOBBY SHAFTOE X COQUET DALE.,GOULDING
BEATRICE,LOW BUSH,SIDL,,,T&S.PALE PINK.C.PALE VIOLET.FL0WERS MEDIUM.,MEDALLION X ABBE FARGES.,PATTEN.N.Z
BEATRICE KAVANAGH,UPRIGHT,SGLE,1994,3214,T.RED.S.MAGENTA.TIPS RECURVED.C.LIGHT GREYISH WHITE.,BEALINGS X EMILY SALISBURY.,JACKSON
BEAUTY N'RED,LABU-TRAL,DUBL,1980,1560,T.PINKISH WHITE.S.LONG REFLEXED CARDINAL RED.C.BEETROOT PURPLE.8 PETALOIDS.,PARENTAGE UNKNOWN. 1992 IMPORT.,FRANCISCO
BEAUTY OF BATH,UPRT BUSH,DUBL,1965,,T&S.PALE PINK.DEEPER AT BASE.EDGED BRIGHT PINK.TIPS GREEN.C.PURE WHITE.,PARENTAGE UNKNOWN. VERY SIMILAR TO ANGEL'S FLIGHT.,COLVILLE
BEAUTY OF EXETER,LABU-TRAL,SIDL,1890,,T&S.LIGHT ROSY SALMON.C.DEEPER SHADE OF ROSY SALMON.ALMOST A SELF.FLRS LRGE,PARENTAGE UNKNOWN.,LETHEREN
BEAUTY OF SWANLEY,LABU-TRAL,SGLE,1875,,T&S LONG WAXY WHITE TINTED BLUSHED PINK.C.SOFT ROSE PINK.BUSH.,FIEST INTRODUCED AS HEBE.KNOWN IN AMERICA AS VILLA HEBE.,LYE
BEAUTY OF TROWBRIDGE,UPR BUSH,SGLE,1879,,T.CREAMY WHITE.S.THICK RECURVED CREAMY WHITE.C.ROSY CERISE.,PARENTAGE UNKNOWN. SIMILAR TO MRS.MARSHALL.,SMITH.J
BEE KEESEY,LABU-TRAL,DUBL,1972,1045,T.WHITE THICK & SHORT.S.WHITE TIPS GRN.C.WISTERIA BLUE.VARIGATED WHITE.LARGE,PARENTAGE UNKNOWN.,PENNISI
